"";"DATE";"HAuthority";"HMotifs";"CEAuthoritiesMotifs";"NormCEAuthoritiesMotifs";"CEMotifsAuthorities";"NormCEMotifsAuthorities";"MI"
"cross";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"cross.hatch.pattern";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"crow";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"cup";330;2,66967018433722;0,0442600020458075;2,66102095726051;0,996760188907435;0,0356107749691024;0,804581412631805;0,00864922707670512
"cuttlefish";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"dagger";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"date.palm";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"deer";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"deity";330;2,66967018433722;0,0247429107127184;2,6449272736245;0,990731847380293;0;0;0,0247429107127184
"Demeter";330;2,66967018433722;0,121692402678063;2,57600304462669;0,964914340258183;0,0280252629675335;0,230295912898312;0,0936671397105293
"dented.ornament";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"diamond";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"Dione";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"Dionysos";330;2,66967018433722;0,121692402678063;2,54797778165916;0,954416690349233;0;0;0,121692402678063
"disc";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"discobolos";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"dog";330;2,66967018433722;0,0247429107127184;2,65898992978729;0,995999410484267;0,0140626561627943;0,568350923869512;0,0106802545499241
"dolphin";330;2,66967018433722;0,416794962287959;2,35321124170704;0,881461408796178;0,100336019657777;0,240732323411472;0,316458942630182
"donkey";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"dotted.square.ornament";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"double.axe";330;2,66967018433722;0,0442600020458075;2,65413703231909;0,994181621344366;0,0287268500276783;0,649047643467053;0,0155331520181292
"double.volute";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"dove";330;2,66967018433722;0,0247429107127184;2,6449272736245;0,990731847380293;0;0;0,0247429107127184
"drinking.cup";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"eagle";330;2,66967018433722;0,653935554347651;2,35221835643057;0,881089495710324;0,336483726440999;0,514551815089281;0,317451827906651
"eel";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"Egyptian.attendant";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"Enodia";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"eye";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"fig.leaf";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"figure";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"fir.tree";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"fish";330;2,66967018433722;0,0247429107127184;2,66647539243081;0,998803300900181;0,021548118806308;0,870880514281282;0,00319479190641037
"flail";330;2,66967018433722;0,0247429107127184;2,6449272736245;0,990731847380293;0;0;0,0247429107127184
"floral.ornament";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"flower";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"fly";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"fort";330;2,66967018433722;0,0247429107127184;2,6449272736245;0,990731847380293;0;0;0,0247429107127184
"galley";330;2,66967018433722;0,0247429107127184;2,6449272736245;0,990731847380293;0;0;0,0247429107127184
"girl";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"goat";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"goddess";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"goose";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"gorgoneion";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"grain";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"grapes";330;2,66967018433722;0,0780397770903951;2,63990500834848;0,988850616767807;0,048274601101661;0,618589684664829;0,0297651759887341
"grasshopper";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"Great.King.of.Persia";330;2,66967018433722;0,0247429107127184;2,6449272736245;0,990731847380293;0;0;0,0247429107127184
"griffin";330;2,66967018433722;0,107827959611002;2,62117484280961;0,981834706844267;0,0593326180833964;0,550252627402427;0,0484953415276053
"hammer";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"hare";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"Harmonia";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"harpy";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"Hecate";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"Helios";330;2,66967018433722;0,0933195573779644;2,59789874576556;0,973115990509714;0,021548118806308;0,230906783226944;0,0717714385716564
"hen";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"Hephaestus";330;2,66967018433722;0,0247429107127184;2,6449272736245;0,990731847380293;0;0;0,0247429107127184
"Hera";330;2,66967018433722;0,0247429107127184;2,65509030841096;0,994538697696892;0,0101630347864581;0,410745320324583;0,0145798759262603
"Heracles";330;2,66967018433722;0,658109987543114;2,29894323736987;0,861133802541461;0,287383040575768;0,436679348460641;0,370726946967345
"herd";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"herm";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"Hermes";330;2,66967018433722;0,0442600020458075;2,63258891351278;0,986110167824479;0,00717873122137025;0,162194552407398;0,0370812708244372
"hippocamp";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"hoplite";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"horned.skull";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"horse";330;2,66967018433722;0,206192050633232;2,54951160172832;0,954991225764941;0,0860334680243304;0,41724919927861;0,120158582608902
"horse.rein";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"hound";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"hunter";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"hydria";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"incense.burner";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"incuse.square";330;2,66967018433722;0,23759255664385;2,45489125772436;0,919548516564723;0,0228136300309925;0,0960199694521152;0,214778926612858
"Iocastus";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"Ionic.capital";330;2,66967018433722;0,0247429107127184;2,65013890656104;0,992684010972304;0,00521163293654103;0,210631360111652;0,0195312777761774
"Ionic.column";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"ivy";330;2,66967018433722;0,0442600020458075;2,66326151751999;0,997599453724723;0,037851335228579;0,855204100293629;0,00640866681722851
"javelin";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"jug";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"kantharos";330;2,66967018433722;0,135003431927504;2,59743677842062;0,972942947656836;0,0627700260109068;0,464951335789849;0,072233405916597
"ketos";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
